x,y,delme,B
2.750,131.030,0.000,0.472
3.550,131.030,0.000,2.607
4.350,131.030,0.000,3.040
5.150,131.030,0.000,1.302
5.950,131.030,0.000,-0.393
6.750,131.030,0.000,-0.740
7.550,131.030,0.000,-0.507
8.350,131.030,0.000,-0.337
9.150,131.030,0.000,-0.234
-1.250,132.030,0.000,-0.188
-0.450,132.030,0.000,-0.267
0.350,132.030,0.000,-0.394
1.150,132.030,0.000,-0.581
1.950,132.030,0.000,-0.659
2.750,132.030,0.000,0.541
3.550,132.030,0.000,2.651
4.350,132.030,0.000,3.039
5.150,132.030,0.000,1.110
5.950,132.030,0.000,-0.441
6.750,132.030,0.000,-0.736
7.550,132.030,0.000,-0.495
8.350,132.030,0.000,-0.332
9.150,132.030,0.000,-0.237
-1.250,133.030,0.000,-0.186
-0.450,133.030,0.000,-0.261
0.350,133.030,0.000,-0.376
1.150,133.030,0.000,-0.563
1.950,133.030,0.000,-0.652
2.750,133.030,0.000,0.397
3.550,133.030,0.000,2.420
4.350,133.030,0.000,2.943
5.150,133.030,0.000,1.094
5.950,133.030,0.000,-0.512
6.750,133.030,0.000,-0.721
7.550,133.030,0.000,-0.472
8.350,133.030,0.000,-0.322
9.150,133.030,0.000,-0.228
-1.250,134.030,0.000,-0.188
-0.450,134.030,0.000,-0.250
0.350,134.030,0.000,-0.367
1.150,134.030,0.000,-0.547
1.950,134.030,0.000,-0.636
2.750,134.030,0.000,0.323
3.550,134.030,0.000,2.257
4.350,134.030,0.000,2.785
5.150,134.030,0.000,1.052
5.950,134.030,0.000,-0.487
6.750,134.030,0.000,-0.714
7.550,134.030,0.000,-0.471
8.350,134.030,0.000,-0.315
9.150,134.030,0.000,-0.223
-1.250,135.030,0.000,-0.184
-0.450,135.030,0.000,-0.248
0.350,135.030,0.000,-0.355
1.150,135.030,0.000,-0.525
1.950,135.030,0.000,-0.650
2.750,135.030,0.000,0.218
3.550,135.030,0.000,2.145
4.350,135.030,0.000,2.604
5.150,135.030,0.000,0.924
5.950,135.030,0.000,-0.517
6.750,135.030,0.000,-0.699
7.550,135.030,0.000,-0.468
8.350,135.030,0.000,-0.309
9.150,135.030,0.000,-0.220
-1.250,136.030,0.000,-0.182
-0.450,136.030,0.000,-0.247
0.350,136.030,0.000,-0.345
1.150,136.030,0.000,-0.512
1.950,136.030,0.000,-0.614
2.750,136.030,0.000,0.157
3.550,136.030,0.000,1.925
4.350,136.030,0.000,3.045
5.150,136.030,0.000,1.628
5.950,136.030,0.000,-0.219
6.750,136.030,0.000,-0.684
7.550,136.030,0.000,-0.463
8.350,136.030,0.000,-0.308
9.150,136.030,0.000,-0.219
-1.250,137.030,0.000,-0.185
-0.450,137.030,0.000,-0.239
0.350,137.030,0.000,-0.337
1.150,137.030,0.000,-0.495
1.950,137.030,0.000,-0.561
2.750,137.030,0.000,0.330
3.550,137.030,0.000,2.063
4.350,137.030,0.000,2.659
5.150,137.030,0.000,1.246
5.950,137.030,0.000,-0.346
6.750,137.030,0.000,-0.667
7.550,137.030,0.000,-0.454
8.350,137.030,0.000,-0.306
9.150,137.030,0.000,-0.212
-1.250,138.030,0.000,-0.172
-0.450,138.030,0.000,-0.234
0.350,138.030,0.000,-0.332
1.150,138.030,0.000,-0.480
1.950,138.030,0.000,-0.598
2.750,138.030,0.000,-0.016
3.550,138.030,0.000,1.566
4.350,138.030,0.000,2.482
5.150,138.030,0.000,1.152
5.950,138.030,0.000,-0.410
6.750,138.030,0.000,-0.661
7.550,138.030,0.000,-0.440
8.350,138.030,0.000,-0.294
9.150,138.030,0.000,-0.215
-1.250,139.030,0.000,-0.165
-0.450,139.030,0.000,-0.229
0.350,139.030,0.000,-0.326
1.150,139.030,0.000,-0.473
1.950,139.030,0.000,-0.590
2.750,139.030,0.000,-0.025
3.550,139.030,0.000,1.310
4.350,139.030,0.000,2.203
5.150,139.030,0.000,0.957
5.950,139.030,0.000,-0.484
6.750,139.030,0.000,-0.659
7.550,139.030,0.000,-0.432
8.350,139.030,0.000,-0.292
9.150,139.030,0.000,-0.211
-1.250,140.030,0.000,-0.162
-0.450,140.030,0.000,-0.231
0.350,140.030,0.000,-0.323
1.150,140.030,0.000,-0.476
1.950,140.030,0.000,-0.556
2.750,140.030,0.000,0.134
3.550,140.030,0.000,1.539
4.350,140.030,0.000,2.416
5.150,140.030,0.000,1.214
5.950,140.030,0.000,-0.321
6.750,140.030,0.000,-0.646
7.550,140.030,0.000,-0.444
8.350,140.030,0.000,-0.301
9.150,140.030,0.000,-0.211
-1.250,141.030,0.000,-0.172
-0.450,141.030,0.000,-0.234
0.350,141.030,0.000,-0.324
1.150,141.030,0.000,-0.490
1.950,141.030,0.000,-0.552
2.750,141.030,0.000,0.311
3.550,141.030,0.000,2.010
4.350,141.030,0.000,2.831
5.150,141.030,0.000,1.421
5.950,141.030,0.000,-0.257
6.750,141.030,0.000,-0.649
7.550,141.030,0.000,-0.442
8.350,141.030,0.000,-0.295
9.150,141.030,0.000,-0.208
-1.250,142.030,0.000,-0.170
-0.450,142.030,0.000,-0.228
0.350,142.030,0.000,-0.328
1.150,142.030,0.000,-0.493
1.950,142.030,0.000,-0.564
2.750,142.030,0.000,0.313
3.550,142.030,0.000,2.017
4.350,142.030,0.000,2.801
5.150,142.030,0.000,1.305
5.950,142.030,0.000,-0.311
6.750,142.030,0.000,-0.667
7.550,142.030,0.000,-0.446
8.350,142.030,0.000,-0.292
9.150,142.030,0.000,-0.216
-1.250,143.030,0.000,-0.173
-0.450,143.030,0.000,-0.227
0.350,143.030,0.000,-0.340
1.150,143.030,0.000,-0.502
1.950,143.030,0.000,-0.554
2.750,143.030,0.000,0.497
3.550,143.030,0.000,2.184
4.350,143.030,0.000,2.561
5.150,143.030,0.000,1.073
5.950,143.030,0.000,-0.434
6.750,143.030,0.000,-0.664
7.550,143.030,0.000,-0.446
8.350,143.030,0.000,-0.288
9.150,143.030,0.000,-0.207
-1.250,144.030,0.000,-0.169
-0.450,144.030,0.000,-0.235
0.350,144.030,0.000,-0.337
1.150,144.030,0.000,-0.492
