I,U,delme
3.29555E+1,7.25795E-7,3.41680E-3
3.28930E+1,6.91569E-7,3.39590E-3
3.28305E+1,6.47780E-7,3.37950E-3
3.27680E+1,6.02480E-7,3.35320E-3
3.27055E+1,5.49631E-7,3.32910E-3
3.26430E+1,5.19935E-7,3.31040E-3
3.25805E+1,4.79669E-7,3.29790E-3
3.25180E+1,4.50980E-7,3.27560E-3
3.24555E+1,4.14237E-7,3.25060E-3
3.23930E+1,3.89574E-7,3.23490E-3
3.23305E+1,3.79005E-7,3.21540E-3
3.22680E+1,3.40752E-7,3.19360E-3
3.22055E+1,3.14579E-7,3.16930E-3
3.21430E+1,2.90922E-7,3.15110E-3
3.20805E+1,2.53172E-7,3.13680E-3
3.20180E+1,2.50656E-7,3.11210E-3
3.19555E+1,2.36563E-7,3.09570E-3
3.18930E+1,2.01833E-7,3.07750E-3
3.18305E+1,1.91766E-7,3.06280E-3
3.17680E+1,1.79687E-7,3.04320E-3
3.17055E+1,1.73143E-7,3.02820E-3
3.16430E+1,1.48984E-7,3.00580E-3
3.15805E+1,1.42441E-7,2.99120E-3
3.15180E+1,1.36401E-7,2.97220E-3
3.14555E+1,1.10228E-7,2.95090E-3
3.13930E+1,1.00665E-7,2.93720E-3
3.13305E+1,8.50621E-8,2.92450E-3
3.12680E+1,8.05321E-8,2.90900E-3
3.12055E+1,6.44254E-8,2.89640E-3
3.11430E+1,6.44254E-8,2.87890E-3
3.10805E+1,5.13390E-8,2.86630E-3
3.10180E+1,5.78822E-8,2.85180E-3
3.09555E+1,3.52327E-8,2.83540E-3
3.08930E+1,3.27161E-8,2.82260E-3
3.08305E+1,2.51640E-9,2.80870E-3
3.07680E+1,1.71128E-8,2.79140E-3
3.07055E+1,3.47296E-8,2.77940E-3
3.06430E+1,1.20800E-8,2.76490E-3
3.05805E+1,5.53672E-9,2.75110E-3
3.05180E+1,2.01334E-9,2.73870E-3
3.04555E+1,-1.25831E-8,2.72910E-3
3.03930E+1,-1.10728E-8,2.71580E-3
3.03305E+1,-1.61061E-8,2.70180E-3
3.02680E+1,-1.71129E-8,2.69130E-3
3.02055E+1,-2.41595E-8,2.67790E-3
3.01430E+1,-1.40930E-8,2.66760E-3
3.00805E+1,-2.61727E-8,2.65610E-3
3.00180E+1,-2.56694E-8,2.64460E-3
2.99555E+1,-2.16431E-8,2.63510E-3
2.98930E+1,-9.56326E-9,2.62420E-3
2.98305E+1,-4.17762E-8,2.61240E-3
2.97680E+1,-3.12064E-8,2.60260E-3
2.97055E+1,-2.51666E-8,2.59150E-3
2.96430E+1,-4.47963E-8,2.58020E-3
2.95805E+1,-3.32199E-8,2.57010E-3
2.95180E+1,-4.93263E-8,2.56160E-3
2.94555E+1,-3.32196E-8,2.55050E-3
2.93930E+1,-5.38557E-8,2.54210E-3
2.93305E+1,-4.68091E-8,2.53310E-3
2.92680E+1,-2.71790E-8,2.52390E-3
2.92055E+1,-4.83187E-8,2.51460E-3
2.91430E+1,-3.77491E-8,2.50520E-3
2.90805E+1,-4.52990E-8,2.49600E-3
2.90180E+1,-5.18426E-8,2.48600E-3
2.89555E+1,-4.07694E-8,2.47660E-3
2.88930E+1,-4.78160E-8,2.46830E-3
2.88305E+1,-3.52330E-8,2.46030E-3
2.87680E+1,-4.12730E-8,2.45230E-3
2.87055E+1,-4.68094E-8,2.44510E-3
2.86430E+1,-4.73128E-8,2.43680E-3
2.85805E+1,-3.82525E-8,2.42850E-3
2.85180E+1,-4.32858E-8,2.42030E-3
2.84555E+1,-4.32858E-8,2.41180E-3
2.83930E+1,-4.27825E-8,2.40400E-3
2.83305E+1,-4.98293E-8,2.39600E-3
2.82680E+1,-4.78160E-8,2.38750E-3
2.82055E+1,-5.18426E-8,2.38040E-3
2.81430E+1,-5.13391E-8,2.37290E-3
2.80805E+1,-5.83857E-8,2.36400E-3
2.80180E+1,-5.03325E-8,2.35580E-3
2.79555E+1,-4.93259E-8,2.34810E-3
2.78930E+1,-4.83190E-8,2.34060E-3
2.77680E+1,-3.62392E-8,2.32460E-3
2.76430E+1,-4.37891E-8,2.31120E-3
2.75180E+1,-4.27825E-8,2.29700E-3
2.73930E+1,-5.53657E-8,2.28180E-3
2.72680E+1,-2.41596E-8,2.26900E-3
2.71430E+1,-3.52328E-8,2.25530E-3
2.70180E+1,-4.42930E-8,2.24100E-3
2.68930E+1,-4.78162E-8,2.22900E-3
2.67680E+1,-5.08359E-8,2.21600E-3
2.66430E+1,-4.17761E-8,2.20360E-3
2.65180E+1,-4.73128E-8,2.19170E-3
2.63930E+1,-4.63062E-8,2.17980E-3
2.62680E+1,-5.08358E-8,2.16900E-3
2.61430E+1,-5.13393E-8,2.15730E-3
2.60180E+1,-5.18426E-8,2.14480E-3
2.58930E+1,-5.68759E-8,2.13410E-3
2.57680E+1,-5.73792E-8,2.12260E-3
2.56430E+1,-5.38561E-8,2.11120E-3
2.55180E+1,-5.63727E-8,2.10060E-3
2.53930E+1,-5.58695E-8,2.08890E-3
2.52680E+1,-5.68762E-8,2.07800E-3
2.51430E+1,-6.03992E-8,2.06780E-3
2.50180E+1,-6.34192E-8,2.05760E-3
2.48930E+1,-4.58028E-8,2.04680E-3
2.47680E+1,-5.53658E-8,2.03730E-3
2.46430E+1,-7.70088E-8,2.02610E-3
2.45180E+1,-7.24790E-8,2.01650E-3
2.43930E+1,-5.43593E-8,2.00580E-3
2.42680E+1,-5.33528E-8,1.99560E-3
2.41430E+1,-5.28495E-8,1.98590E-3
2.40180E+1,-5.58697E-8,1.97520E-3
2.38930E+1,-4.63065E-8,1.96490E-3
2.37680E+1,-4.07700E-8,1.95510E-3
2.36430E+1,-4.42932E-8,1.94520E-3
2.35180E+1,-4.27832E-8,1.93400E-3
